,county,clid,hhid,resid,eatype,strat,hhsize,ctry_adq,padqnfitems,padqeduc,padqrent,padqegy,padqexp,padqfdcons,pl_abs,pl_food,pdeflator,weight,weight_pop,weight_adq
26,Mombasa,343.0,9.0,Urban,Urban,12,3,3.0,843.5024,285.12064,795.6855,318.2742,3820.0178,1577.4352,5995.902,2551.1006,1.047315,619.1212958675998,1857.3639,1857.3639
27,Mombasa,343.0,10.0,Urban,Urban,12,1,1.0,2422.3733,0.0,2512.339,0.0,10262.066,5327.355,5995.902,2551.1006,0.99508864,619.1212958675998,619.1213,619.1213
28,Mombasa,395.0,1.0,Urban,Urban,12,3,2.239999994635582,3804.2808,0.0,1152.2305,886.3311,15334.996,9492.152,5995.902,2551.1006,1.007363,588.9913740906834,1766.9741,1319.3407
29,Mombasa,395.0,2.0,Urban,Urban,12,1,1.0,1727.0624,5888.0884,2778.6484,3444.5317,22905.104,9066.773,5995.902,2551.1006,1.0076841,588.9913740906834,588.9914,588.9914
30,Mombasa,395.0,3.0,Urban,Urban,12,3,2.649999976158142,2597.9001,383.99136,1112.2509,834.18805,9837.401,4909.071,5995.902,2551.1006,0.949969,588.9913740906834,1766.9741,1560.8271
31,Mombasa,395.0,4.0,Urban,Urban,12,1,1.0,3007.7212,0.0,2084.4731,558.6388,13841.247,8190.4146,5995.902,2551.1006,0.95947504,588.9913740906834,588.9914,588.9914
32,Mombasa,395.0,5.0,Urban,Urban,12,1,1.0,4413.8096,0.0,2135.5222,1334.7014,16021.816,8137.782,5995.902,2551.1006,1.030193,588.9913740906834,588.9914,588.9914
33,Mombasa,395.0,6.0,Urban,Urban,12,3,2.239999994635582,960.8283,167.85959,805.726,765.4397,8739.191,6039.338,5995.902,2551.1006,1.1081399,588.9913740906834,1766.9741,1319.3407
34,Mombasa,395.0,7.0,Urban,Urban,12,1,1.0,2185.4985,0.0,1563.863,312.77258,6792.411,2730.2773,5995.902,2551.1006,1.2788844,588.9913740906834,588.9914,588.9914
35,Mombasa,395.0,8.0,Urban,Urban,12,3,1.479999989271164,4862.0337,97.62226,1221.7755,754.62604,20445.82,13509.763,5995.902,2551.1006,0.94014704,588.9913740906834,1766.9741,871.7072
36,Mombasa,406.0,1.0,Urban,Urban,12,2,2.0,7677.022,57.3387,1323.2008,313.86322,12132.815,2761.3904,5995.902,2551.1006,0.944679,1104.8189759310403,2209.638,2209.638
